Area,IMD,Income`,Employ,Health,Educ,Barr,Crime,Env,<16,60+
E01019984,28741,28071,28660,17039,21694,27418,21061,28712,26034,27572
E01019985,8268,8948,6692,5045,6812,7424,20100,20949,11829,8088
E01019986,28098,28743,28053,28597,22928,13343,26109,15871,30603,24079
E01019987,18322,18866,25629,17690,12993,18698,22403,3579,19108,8231
E01019988,21162,19142,21622,18960,19508,13823,27265,11520,21048,16568
E01019989,23296,25471,24847,24229,19782,17562,30924,4413,24768,23480
E01019990,5079,5705,5430,4089,11900,8980,2321,7398,7040,7659
E01019991,8610,9121,10531,6185,11474,9167,6982,8043,8271,10552
E01019992,13634,14156,12784,10587,13920,9662,17155,14095,14970,15146
E01019993,27403,29934,28519,18982,24894,25813,7746,29212,30898,22087
E01019994,14504,17550,17001,29572,12843,3830,18940,3731,18455,10837
E01019995,2584,3787,2566,15435,906,2239,14227,2104,8310,2186
E01019996,15787,20956,21120,25653,9798,11400,14716,2417,26590,9720
E01019997,17908,24326,26173,26599,14864,11957,17933,1108,23017,13459
E01019998,28461,25049,22434,24778,25840,24498,20923,30892,24412,24468
E01019999,31524,30511,28811,31785,27724,29666,20952,21167,28313,27812
E01020000,9714,9940,7097,9213,8955,16389,14711,10601,14784,7703
E01020001,29099,30396,27756,30692,25689,27348,8461,24167,29430,31358
E01020002,12617,10747,9869,9255,15021,14985,12276,25252,10299,15275
E01020003,26201,19646,19531,25023,25915,25102,25953,25315,15295,27786
E01020004,30764,30549,25009,24846,26081,28794,30684,22518,29978,31993
E01020005,7125,7210,5264,5817,9163,8778,17179,9606,9114,10191
E01020006,14516,15898,16933,11792,17844,10133,12433,7081,14591,13198
E01020007,16676,25153,27597,26086,7783,8511,15341,2254,25469,4793
E01020008,20605,25402,25382,20327,24049,15805,20063,2164,18531,17547
E01020009,24545,26885,25300,31543,18355,15541,28685,5706,27618,19672
E01020010,6843,6294,7492,2250,10634,12722,18260,7609,3889,12596
E01020011,22833,25752,19865,16107,23818,17055,14377,19613,23842,30641
E01020012,10624,11670,8595,3878,10301,19708,21440,15305,16167,12756
E01020013,12446,13425,13696,8479,8368,21914,23033,5649,19315,7901
E01020014,4029,5743,4505,1740,5886,9327,15379,2559,5721,6548
E01020015,2395,2580,3075,206,5732,10517,16834,5474,2012,3295
E01020016,4908,6706,4816,12384,3112,4321,9773,3605,6229,4384
E01020017,12440,16447,18700,17180,20478,11823,7759,568,11349,11704
E01020018,6274,10632,8525,15271,7363,777,11168,1579,7723,8923
E01020019,23623,29649,32356,28924,25982,16506,14042,2051,12553,23368
E01020020,13437,22050,25623,29019,12298,929,14366,1779,16045,12439
E01020021,19473,27346,22072,29890,10891,11689,17875,4406,27205,19109
E01020022,8490,13903,14806,13866,4970,1622,13269,2923,12842,1814
E01020023,25110,25488,22049,31575,22423,22081,8042,21339,28776,23319
E01020024,30829,30998,28664,32224,25562,25243,22914,17364,32320,26025
E01020025,18646,21258,20406,30194,11602,19388,15543,4100,22881,18237
E01020026,28821,31125,27851,15162,25480,30288,22134,19986,32058,29327
E01020027,21106,20605,16505,18819,24694,17649,22517,12234,24374,24111
E01020029,18421,18572,19270,21262,20848,6084,29048,7236,28283,11600
E01020030,10570,12647,14210,18267,9045,6316,23765,1056,12056,6901
E01020031,19395,18270,21690,20442,17354,16417,25217,5355,20873,11070
E01020032,10495,13525,9359,16756,7496,6317,23602,4228,21224,11054
E01020033,18062,14450,12168,23150,15385,25404,17303,19289,10099,20210
E01020035,25536,27132,27906,25308,22452,25764,4265,26365,26190,23484
E01020036,12492,12795,12292,9265,13809,8062,13354,17416,13757,15150
E01020037,6555,5475,7547,4459,8413,9023,19903,5296,4390,6807
E01020038,28621,25029,24765,25914,25197,29347,20559,21524,20962,28888
E01020039,6177,5843,5740,3550,6540,17408,12151,9018,6215,4457
E01020040,14635,15635,14582,13534,13617,7464,15551,15121,17039,16466
E01020041,12421,12983,12991,5790,16245,13683,25159,6630,14785,12522
E01020042,30195,26734,28733,17494,28373,30124,26952,27176,24792,28822
E01020043,19877,16355,15253,20229,21624,25907,22996,10909,17739,18038
E01020044,21407,25876,30068,29789,31448,32305,4337,1538,25582,28196
E01020045,22345,24328,22354,26313,23545,28442,13516,4289,24638,26748
E01020046,15762,22160,28014,19131,29075,31726,1186,983,26257,19574
E01020047,20918,22195,23837,15340,27749,16520,7103,14567,23217,22372
E01020048,8161,10562,7993,12067,22034,1464,23243,1382,11245,18749
E01020049,13962,22612,29885,17391,29605,28568,227,835,20626,27202
E01020050,15788,19902,19769,14827,26619,24901,11479,757,25207,19907
E01020051,24225,24484,25436,12889,26601,18447,13475,24304,21330,26821
E01020052,10258,12633,7840,7251,13878,6707,21392,9272,20243,13712
E01020053,12136,9804,12356,3144,24039,14012,23954,16076,10402,14471
E01020054,25381,19820,21390,15414,25832,27356,24760,28741,19308,19698
E01020055,12099,11505,12026,4138,15117,22381,30282,7662,13221,10790
E01020056,18506,26714,24953,26298,28356,28314,2738,1407,29988,27791
E01020057,13091,11216,13544,5299,15619,27882,25289,7964,11583,10148
E01020058,26765,23402,25199,15640,24896,31711,20139,23615,24380,19962
E01020059,18771,24019,22818,22973,29735,23631,6168,1711,25486,25067
E01020060,15677,12214,12403,13406,21582,22662,30871,6448,17048,11921
E01020061,23478,18571,16418,15727,26410,29474,29220,22431,17535,20573
E01020062,31757,26736,30467,23098,31321,30819,24614,31788,23542,26549
E01020063,19354,14161,15057,18869,22283,30333,16958,15147,15514,14918
E01020064,20194,19011,19640,11029,22157,30093,22263,9611,23642,14095
E01020065,11598,11936,11687,4675,21238,10348,22153,7799,12890,15678
E01020066,24414,25328,28366,17120,31338,28469,2935,26698,21071,31458
E01020067,7267,6159,6139,2453,11393,11654,19830,17336,8080,4710
E01020068,15350,21648,24657,24348,26485,30540,1021,1063,25217,19648
E01020069,18724,26042,26712,24033,28418,31885,3496,1058,26643,24808
E01020070,12712,19424,21098,22636,26647,29688,437,650,20025,23544
E01020071,20553,18945,22100,21139,29590,25688,23983,2166,16545,22083
