Area,0 to 15,16 to 64,65 to 84,85 and over,Total
E01019973,0.17426,0.58914,0.19437,0.04223,1
E01019974,0.15078,0.59941,0.21951,0.0303,1
E01019975,0.25622,0.62445,0.10395,0.01537,1
E01019976,0.14805,0.53634,0.24092,0.0747,1
E01019977,0.18663,0.60225,0.17737,0.03375,1
E01019980,0.23623,0.67462,0.08518,0.00398,1
E01019981,0.20486,0.62917,0.14792,0.01806,1
E01019982,0.19458,0.72524,0.07075,0.00943,1
E01019983,0.16153,0.58453,0.24641,0.00753,1
E01019984,0.18262,0.67275,0.13367,0.01096,1
E01019985,0.23267,0.6669,0.08911,0.01132,1
E01019986,0.17992,0.62777,0.16362,0.02868,1
E01019987,0.12017,0.73498,0.11964,0.02521,1
E01019988,0.16351,0.62596,0.15018,0.06035,1
E01019989,0.16435,0.69174,0.10793,0.03598,1
E01019990,0.2459,0.63435,0.10763,0.01212,1
E01019991,0.25821,0.62816,0.09533,0.01831,1
E01019992,0.16925,0.6398,0.14941,0.04154,1
E01019993,0.14613,0.68394,0.14868,0.02124,1
E01019994,0.09909,0.77785,0.1101,0.01295,1
E01019995,0.08352,0.80329,0.09402,0.01917,1
E01019996,0.08051,0.72009,0.11362,0.08578,1
E01019997,0.05977,0.8677,0.06111,0.01142,1
E01019998,0.18673,0.60851,0.16799,0.03677,1
E01019999,0.14108,0.65643,0.16183,0.04066,1
E01020000,0.18326,0.63499,0.15611,0.02564,1
E01020001,0.11934,0.61154,0.24883,0.02028,1
E01020002,0.22253,0.59748,0.13417,0.04582,1
E01020003,0.15984,0.55035,0.24649,0.04333,1
E01020004,0.14508,0.62267,0.18867,0.04359,1
E01020005,0.22314,0.61349,0.13925,0.02412,1
E01020006,0.19919,0.69606,0.09311,0.01164,1
E01020007,0.08795,0.87812,0.02909,0.00485,1
E01020008,0.1028,0.8493,0.03875,0.00915,1
E01020009,0.1634,0.69789,0.1053,0.03341,1
E01020010,0.23467,0.63659,0.11455,0.01419,1
E01020011,0.15647,0.57785,0.23315,0.03253,1
E01020012,0.20803,0.63489,0.13489,0.02218,1
E01020013,0.14084,0.70488,0.13517,0.01911,1
E01020014,0.20958,0.66733,0.11643,0.00665,1
E01020015,0.22313,0.62506,0.12175,0.03006,1
E01020016,0.07995,0.80074,0.10291,0.0164,1
E01020017,0.10607,0.8397,0.03888,0.01535,1
E01020018,0.04744,0.80424,0.12437,0.02395,1
E01020019,0.03704,0.79111,0.10321,0.06864,1
E01020020,0.06831,0.87084,0.05166,0.00918,1
E01020021,0.08167,0.83257,0.07095,0.0148,1
E01020022,0.05727,0.89588,0.03991,0.00694,1
E01020023,0.19532,0.62528,0.14892,0.03049,1
E01020024,0.16951,0.59396,0.18725,0.04928,1
E01020025,0.16153,0.71582,0.10657,0.01609,1
E01020026,0.13928,0.59674,0.24009,0.02389,1
E01020027,0.18252,0.62434,0.17602,0.01713,1
E01020029,0.15552,0.70102,0.12357,0.01989,1
E01020030,0.16617,0.7001,0.09082,0.04291,1
E01020031,0.21381,0.67027,0.0991,0.01682,1
E01020032,0.14555,0.68381,0.14931,0.02133,1
E01020033,0.21797,0.52224,0.21532,0.04447,1
E01020035,0.23336,0.63514,0.12393,0.00758,1
E01020036,0.18336,0.59405,0.16712,0.05548,1
E01020037,0.22119,0.601,0.14865,0.02916,1
E01020038,0.19644,0.64077,0.1425,0.02029,1
E01020039,0.18994,0.6078,0.17248,0.02977,1
E01020040,0.17455,0.61521,0.17998,0.03026,1
E01020041,0.22638,0.61697,0.13566,0.021,1
E01020042,0.15655,0.5508,0.24281,0.04984,1
E01020043,0.22104,0.57432,0.18292,0.02172,1
E01020044,0.15837,0.56553,0.23908,0.03701,1
E01020045,0.16981,0.55995,0.23615,0.03408,1
E01020046,0.15959,0.60746,0.21236,0.02059,1
E01020047,0.14313,0.52796,0.26919,0.05972,1
E01020048,0.19188,0.63588,0.14458,0.02767,1
E01020049,0.14875,0.54591,0.2669,0.03843,1
E01020050,0.13237,0.53367,0.28983,0.04412,1
E01020051,0.11492,0.506,0.32419,0.05489,1
E01020052,0.17,0.62684,0.17211,0.03105,1
E01020053,0.21004,0.57143,0.19731,0.02122,1
E01020054,0.22316,0.60989,0.14497,0.02198,1
E01020055,0.168,0.59011,0.18607,0.05582,1
E01020056,0.17049,0.61673,0.18309,0.02969,1
E01020057,0.21769,0.62489,0.1379,0.01951,1
E01020058,0.16743,0.61154,0.19449,0.02654,1
E01020059,0.20082,0.60383,0.17213,0.02322,1
E01020060,0.14111,0.57085,0.21487,0.07317,1
E01020061,0.20018,0.57795,0.18404,0.03782,1
E01020062,0.13619,0.59591,0.22762,0.04028,1
E01020063,0.19032,0.56227,0.20935,0.03806,1
E01020064,0.21882,0.58862,0.16575,0.02681,1
E01020065,0.25199,0.60957,0.11779,0.02065,1
E01020066,0.2076,0.62545,0.14645,0.0205,1
E01020067,0.27154,0.60403,0.10932,0.01511,1
E01020068,0.15817,0.5634,0.23725,0.04118,1
E01020069,0.16833,0.58882,0.21291,0.02994,1
E01020070,0.15832,0.57729,0.22708,0.03731,1
E01020071,0.16906,0.55584,0.23668,0.03842,1
E01020072,0.16464,0.57913,0.22377,0.03246,1
E01020073,0.15836,0.54686,0.26038,0.0344,1
E01020074,0.17591,0.58322,0.2147,0.02616,1
E01020075,0.193,0.5725,0.205,0.0295,1
E01020076,0.1854,0.60468,0.18825,0.02168,1
E01020077,0.17995,0.60023,0.19871,0.0211,1
E01020078,0.18681,0.61538,0.16337,0.03443,1
E01020079,0.19955,0.55497,0.20557,0.03991,1
E01020080,0.17635,0.54772,0.23859,0.03734,1
E01020081,0.16895,0.56012,0.25419,0.01674,1
E01020082,0.14746,0.5839,0.24492,0.02373,1
E01020083,0.19787,0.59729,0.19294,0.0119,1
