Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01019967,0,5,0,0,0,5,5,0,5,5,5,5,5,5,5
E01019968,10,5,5,5,5,5,0,5,5,5,0,5,10,10,5
E01019969,10,10,5,10,5,5,5,5,10,10,10,10,10,20,15
E01019970,5,5,5,10,10,10,10,5,5,10,10,10,10,5,5
E01019971,5,5,5,5,5,5,10,15,15,10,15,15,10,10,10
E01019972,5,5,5,5,5,10,10,10,10,10,15,15,15,15,10
E01019973,5,5,5,10,5,10,10,5,10,10,10,5,5,10,5
E01019974,5,5,10,10,10,15,10,15,15,15,15,15,15,20,15
E01019975,5,10,10,5,10,10,15,10,10,15,20,15,20,15,15
E01019976,0,5,5,5,5,0,0,5,5,10,10,10,10,15,10
E01019977,10,10,10,10,15,15,10,15,10,10,10,15,10,10,10
E01019980,10,10,10,10,10,10,10,10,10,15,10,10,15,10,10
E01019981,0,0,5,5,10,10,10,10,10,10,10,25,20,15,15
E01019982,15,15,10,10,15,15,15,10,10,10,15,15,10,10,15
E01019983,5,5,10,10,10,5,10,10,15,15,5,10,10,10,10
E01019984,0,5,5,5,5,10,10,15,10,10,10,10,10,10,10
E01019985,15,10,15,10,5,10,10,15,15,15,15,20,15,15,15
E01019986,0,0,0,5,5,0,0,5,10,10,5,5,5,5,5
E01019987,5,5,5,5,5,0,5,0,0,5,0,5,5,10,5
E01019988,5,5,5,5,5,5,5,10,10,10,15,15,10,10,10
E01019989,10,5,5,5,10,10,5,10,10,5,10,10,10,10,5
E01019990,5,0,5,5,5,10,10,10,15,15,15,20,15,15,15
E01019991,10,10,10,10,10,15,15,15,15,15,20,20,15,15,10
E01019992,5,15,10,20,15,20,20,15,15,10,15,20,20,20,20
E01019993,5,0,0,0,5,5,10,5,5,5,5,5,5,5,5
E01019994,5,5,10,5,10,10,10,10,10,15,20,20,15,15,5
E01019995,10,10,10,10,10,15,15,10,15,15,10,15,15,20,20
E01019996,0,5,5,0,0,5,0,5,5,5,5,0,5,10,5
E01019997,5,5,5,5,5,10,5,10,10,5,5,5,5,5,5
E01019998,5,10,10,10,10,10,15,15,15,10,15,10,10,10,10
E01019999,0,5,0,5,0,0,0,0,5,0,5,0,0,0,5
E01020000,10,10,10,10,15,10,15,10,15,15,5,15,15,15,15
E01020001,5,5,10,10,10,10,10,10,10,15,10,10,15,10,10
E01020002,5,5,5,10,10,10,20,20,15,10,15,20,15,25,20
E01020003,5,0,5,5,0,5,5,5,10,10,10,15,15,15,15
E01020004,5,5,5,10,10,10,5,5,10,10,10,10,10,10,10
E01020005,15,10,15,10,15,20,30,25,35,30,45,30,30,40,25
E01020006,5,5,10,10,10,15,10,15,15,20,25,20,25,30,20
E01020007,5,5,0,0,0,0,5,5,5,10,5,5,10,5,5
E01020008,10,10,0,5,5,5,5,10,5,5,5,10,10,10,5
E01020009,5,5,0,5,10,10,15,15,10,10,10,5,5,10,10
E01020010,10,10,10,10,10,15,20,15,20,15,25,25,20,25,20
E01020011,5,5,10,10,10,5,15,15,15,15,20,20,15,15,15
E01020012,10,10,15,15,15,10,20,20,20,25,30,25,30,25,20
E01020013,10,5,10,10,10,10,15,15,15,5,10,15,15,10,10
E01020014,15,20,20,20,20,25,30,30,30,25,25,30,30,40,35
E01020015,20,20,25,20,25,30,30,25,25,25,30,30,25,30,20
E01020016,5,10,10,10,5,15,15,25,20,20,20,25,30,30,20
E01020017,10,5,5,5,10,5,10,10,10,15,15,15,15,15,15
E01020018,5,5,5,5,5,15,15,10,10,15,15,25,20,20,15
E01020019,5,5,0,5,5,0,5,5,0,0,5,5,0,5,0
E01020020,5,5,0,5,5,5,5,5,0,5,5,10,0,5,5
E01020021,5,5,10,10,15,10,10,10,10,30,20,25,25,15,15
E01020022,5,0,5,10,15,5,5,10,10,10,15,15,15,15,5
E01020023,10,10,15,15,15,15,20,15,15,15,15,15,15,10,10
E01020024,5,5,0,5,0,5,10,10,15,15,15,15,10,10,10
E01020025,5,5,5,5,10,15,15,10,10,15,15,10,10,10,15
E01020026,10,5,5,10,5,5,10,10,10,10,10,10,10,10,10
E01020027,5,5,5,5,5,5,5,5,5,5,5,10,5,10,10
E01020029,5,5,5,5,5,5,10,15,15,10,10,15,15,15,15
E01020030,10,10,10,0,5,5,10,5,5,15,10,10,15,15,10
E01020031,10,10,15,10,10,15,5,10,10,10,15,10,10,10,10
E01020032,5,5,10,10,10,10,10,10,10,15,15,10,10,10,10
E01020033,5,5,5,5,5,5,5,5,5,5,5,10,10,15,10
E01020035,10,5,10,10,15,10,10,10,10,10,10,15,15,15,15
E01020036,10,5,5,10,5,5,5,5,10,10,5,5,5,15,10
