Area,Children & young people,Adult skills,Geographic barriers,Wider barriers,Indoor environment,Outdoor environment
E01020062,26441,18749,10612,29965,28376,31868
E01020063,17363,19241,7850,23278,9064,32491
E01020064,11164,10737,10088,26614,5040,30933
E01020065,2092,10348,14441,18557,4683,21379
E01020066,13730,19990,1203,25529,20435,32358
E01020067,1350,5096,13992,16225,11309,31079
E01020068,21581,25459,356,28115,313,32620
E01020069,22098,24237,1221,28488,308,32741
E01020070,21577,22108,114,28738,144,32809
E01020071,18194,22884,11120,27322,803,32692
E01020072,22043,18707,25,27554,442,32728
E01020073,6335,14321,295,26320,621,32657
E01020074,30268,23015,969,29181,409,32301
E01020075,26020,21793,5084,28123,776,32747
E01020076,14424,18424,914,27432,646,31907
E01020077,18039,24577,74,28838,120,32543
E01020078,6833,7896,25860,16379,1005,28224
E01020079,2922,5361,9357,21230,14920,32377
E01020080,25259,18731,1241,29518,4457,32731
E01020081,7350,6718,2693,23755,3278,32342
E01020082,7457,21942,1969,28245,165,32680
E01020083,10595,20879,1617,27927,2136,32411
E01020084,6215,13841,4031,17766,22287,29632
E01020085,10869,18867,1704,23198,31039,32427
E01020086,18958,22110,7706,24089,23944,31102
E01020087,13236,16874,505,20603,88,32639
E01020088,20373,18077,629,21952,231,32807
E01020089,16790,22588,19194,22036,10098,29200
E01020090,20774,26905,8052,25421,18472,32749
E01020091,8806,19892,6559,22042,8518,32501
E01020092,14243,19756,19255,19880,25275,30608
E01020093,11466,21586,24802,12927,2601,30797
E01020094,4403,5955,22885,7569,1354,28407
E01020095,3093,9248,22874,11044,1764,27540
E01020096,5217,12473,24101,12077,6186,23409
E01020097,12186,18340,257,22655,71,32621
E01020098,22046,17410,2295,19722,145,32757
E01020099,12717,13132,8382,18068,2799,32479
E01020100,8163,21036,1095,19125,1040,32733
E01020101,10756,14172,9764,17624,5711,32625
E01020102,14022,16787,5560,19886,27313,32316
E01020103,655,3330,20784,11215,12867,32394
E01020104,478,5449,4363,9785,14542,30033
E01020105,9197,14101,17293,19394,24007,30627
E01020106,25446,20132,3778,27376,23334,31499
E01020107,17262,19428,20147,21537,25427,32387
E01020108,9322,22065,2660,17694,3230,32338
E01020109,22384,26388,6715,21809,585,31398
E01020110,7267,22165,2579,19931,16632,32816
E01020111,1671,4504,23695,8094,4364,29489
E01020112,4560,7844,24719,7956,21,30610
E01020113,6392,9161,27871,9617,565,30713
E01020114,6450,11980,12565,15241,2061,32369
E01020115,9169,15847,2722,19112,1806,32729
E01020116,8664,12269,28923,13514,1601,31581
E01020117,10115,12802,1987,20527,4700,32493
E01020118,3461,10388,8187,13441,7018,32736
E01020119,19873,19848,1257,21391,2721,30598
E01020120,26959,22424,3992,27213,12530,31609
E01020121,17244,19437,5699,21132,2309,32644
E01020122,17912,17372,480,21101,1212,32742
E01020123,4636,9593,21459,16932,16369,26499
E01020124,16591,21522,11318,16694,9096,24089
E01020125,24387,20265,11182,26809,25300,28500
E01020126,5766,18288,3283,18744,285,32348
E01020127,22806,21764,93,25954,22,32677
E01020128,29107,25297,22050,22634,20109,29635
E01020129,8871,12390,20892,13219,15115,32256
E01020130,20266,15420,25867,15424,1428,25380
E01020131,9377,19297,251,19346,14,32820
E01020132,13499,16451,10306,16367,6327,31554
E01020133,25459,26124,1681,24589,17347,32508
E01020134,2882,9557,10407,14520,8759,32420
E01020135,6281,7793,23152,12794,10474,31555
E01020136,12351,13571,15363,18083,8188,32737
E01020137,5255,13309,25233,14109,2524,27371
E01020138,9714,15368,1323,20818,138,32651
E01020139,2731,6874,17725,14307,3169,26866
E01020140,21024,8796,9993,15135,10058,30744
E01020141,1115,7288,10027,10345,18926,32459
E01020142,20862,23854,797,26061,682,32834
E01020143,22606,28766,1129,25461,236,32808
E01020144,22915,27240,15708,29327,27134,32237
E01020145,10730,22363,1579,28659,3899,32586
E01020146,16025,26363,17080,27980,16774,32155
E01020147,27114,26281,708,27165,301,32828
E01020148,25537,23426,2100,27530,380,32649
E01020149,11044,19725,1100,24544,2023,31911
E01020150,18043,30477,5757,23878,3291,31795
E01020151,27291,23666,7557,24779,14571,32777
E01020152,10457,23172,27687,22636,418,32153
E01020153,19370,24166,3264,22360,723,32722
E01020154,8495,15176,5839,23207,12540,32796
E01020155,10274,5473,14262,16948,5457,32519
E01020156,28046,26447,4100,26062,3184,32104
E01020157,27467,28189,297,26073,183,32521
E01020158,25570,28637,22066,25984,4153,32817
E01020159,31309,27994,1171,25737,542,30599
E01020160,23790,27591,1878,25942,2074,32053
E01020161,16148,21442,18564,21006,8867,31649
E01020162,17515,24544,5884,28930,19764,31813
E01020163,23606,26419,5429,30013,28214,31428
E01020164,23339,24269,17745,25015,9901,32211
E01020165,20932,24990,16779,29248,21904,31563
E01020166,24825,25316,8391,31673,20318,31727
E01020167,26119,29547,14161,31697,31102,31728
E01020168,11739,15140,5852,22900,12826,32819
E01020169,22180,22053,10707,23636,3479,32797
E01020170,23139,21795,13710,25670,12259,27993
E01020171,28002,30739,3258,25812,5064,32805
E01020172,24213,22138,4749,23697,1579,32732
E01020173,20819,23661,25923,22023,10480,32655
E01020174,26488,22007,218,22990,907,31053
E01020175,26796,21412,2123,25241,903,32803
E01020176,27469,28145,29655,26626,4274,32505
E01020177,11198,19975,21483,21261,14647,31654
E01020178,23341,20405,1822,24765,1016,32818
E01020179,27936,26208,677,25490,1685,32723
E01020180,13310,22285,21611,19583,9428,30558
