Area,Label,RD&E Exeter Hospital,Barnstaple Hospital,Torbay Hospital,Plymouth Hospital,Community Hospital,Outside Devon,Total
E01020108,North Devon 004B,<5,161,<5,<5,0,7,175
E01020109,North Devon 004C,<5,97,<5,0,0,13,113
E01020110,North Devon 005E,9,245,<5,<5,5,13,276
E01020111,North Devon 001A,8,167,0,<5,<5,<5,182
E01020112,North Devon 001B,12,179,0,0,<5,<5,195
E01020113,North Devon 003A,5,140,<5,<5,11,6,167
E01020114,North Devon 001C,6,99,<5,<5,<5,5,115
E01020115,North Devon 001D,<5,95,0,<5,0,<5,99
E01020116,North Devon 003B,6,151,0,0,<5,5,164
E01020117,North Devon 003C,<5,133,<5,<5,0,6,143
E01020118,North Devon 003D,7,109,<5,<5,<5,<5,124
E01020119,North Devon 011D,8,114,0,<5,5,<5,130
E01020120,North Devon 006B,5,177,0,<5,0,<5,188
E01020121,North Devon 012D,8,143,<5,<5,7,<5,166
E01020122,North Devon 012E,8,165,0,<5,0,<5,179
E01020123,North Devon 009B,5,165,<5,0,<5,<5,176
E01020124,North Devon 009C,<5,138,0,0,<5,<5,144
E01020125,North Devon 009D,5,107,0,0,<5,6,119
E01020126,North Devon 002D,5,138,0,<5,<5,8,153
E01020127,North Devon 006C,5,111,0,<5,<5,5,127
E01020128,North Devon 010D,<5,140,0,<5,<5,<5,151
E01020129,North Devon 010E,5,138,0,0,<5,<5,148
E01020130,North Devon 010F,<5,147,0,<5,11,<5,167
E01020131,North Devon 013B,14,120,0,<5,<5,<5,140
E01020132,North Devon 007A,6,188,<5,0,<5,6,202
E01020133,North Devon 007B,0,136,0,<5,<5,<5,139
E01020134,North Devon 007C,<5,118,0,0,<5,<5,126
E01020135,North Devon 013C,5,187,0,<5,<5,<5,199
E01020136,North Devon 013D,10,144,0,<5,<5,7,166
E01020137,North Devon 013E,10,170,0,<5,<5,7,191
E01020138,North Devon 014C,181,33,<5,<5,6,5,227
E01020139,North Devon 007D,10,163,0,<5,0,<5,179
E01020140,North Devon 008C,7,133,<5,<5,<5,<5,148
E01020141,North Devon 008D,6,201,0,<5,9,<5,221
E01020142,South Hams 006A,5,0,93,98,<5,<5,200
E01020143,South Hams 006B,5,0,119,46,0,5,175
E01020144,South Hams 001A,0,0,0,100,0,<5,102
E01020145,South Hams 001B,<5,0,<5,188,0,8,199
E01020146,South Hams 001C,0,0,<5,110,0,<5,112
E01020147,South Hams 008A,<5,0,<5,155,0,5,165
E01020148,South Hams 002A,0,0,0,90,0,<5,93
E01020149,South Hams 001D,0,0,0,112,0,<5,113
E01020150,South Hams 006C,<5,0,186,9,9,5,212
E01020151,South Hams 007A,<5,0,149,<5,7,<5,164
E01020152,South Hams 007B,<5,0,151,<5,8,<5,166
E01020153,South Hams 004A,0,0,107,<5,<5,<5,113
E01020154,South Hams 007C,<5,0,131,7,0,5,144
E01020155,South Hams 007D,<5,0,142,<5,<5,<5,154
E01020156,South Hams 004B,9,0,188,<5,<5,<5,205
E01020157,South Hams 002B,9,0,153,31,<5,<5,198
E01020158,South Hams 008B,0,0,<5,134,0,8,146
E01020159,South Hams 008C,0,0,<5,126,<5,5,133
E01020160,South Hams 002C,0,0,8,133,<5,<5,144
E01020161,South Hams 005A,<5,0,<5,269,0,6,279
E01020162,South Hams 005B,<5,0,<5,122,<5,<5,130
E01020163,South Hams 005C,<5,0,<5,122,0,<5,127
E01020164,South Hams 005D,<5,0,<5,128,0,5,137
E01020165,South Hams 005E,0,0,0,82,0,<5,83
E01020166,South Hams 005F,<5,0,<5,103,<5,<5,110
E01020167,South Hams 005G,0,0,<5,66,0,0,67
