,,14,15,16,17,18,19
E01019947,East Devon 010B,220,237,231,238,242,253
E01019948,East Devon 010C,126,126,125,131,136,150
E01019949,East Devon 010D,134,141,146,139,125,135
E01019950,East Devon 010E,131,137,139,134,138,136
E01019951,East Devon 009C,197,211,211,203,204,201
E01019952,East Devon 011A,180,185,184,191,195,185
E01019953,East Devon 011B,147,137,141,148,166,167
E01019954,East Devon 011C,116,124,144,172,182,197
E01019955,East Devon 011D,173,173,171,172,174,187
E01019956,East Devon 012A,205,210,226,223,224,220
E01019957,East Devon 012B,202,199,203,204,207,208
E01019958,East Devon 012C,205,199,197,196,202,209
E01019959,East Devon 004D,93,84,89,86,82,90
E01019960,East Devon 004E,74,70,76,87,93,97
E01019961,East Devon 007E,184,187,185,186,192,181
E01019962,East Devon 004F,140,144,153,158,172,175
E01019963,East Devon 013C,107,108,100,110,111,121
E01019964,East Devon 014B,153,143,147,148,150,148
E01019965,East Devon 014C,155,155,164,166,168,166
E01019966,East Devon 005E,95,93,83,83,77,81
E01019967,East Devon 001C,101,94,93,104,103,107
E01019968,Exeter 014A,142,146,162,190,184,178
E01019969,Exeter 014B,114,113,109,103,104,109
E01019970,Exeter 014C,123,132,139,133,129,136
E01019971,Exeter 014D,129,121,117,152,175,187
E01019972,Exeter 014E,111,108,102,117,120,123
E01019973,Exeter 012A,130,128,134,141,148,142
E01019974,Exeter 012B,142,151,151,158,155,149
E01019975,Exeter 010A,141,139,127,129,126,131
E01019976,Exeter 012C,149,164,170,187,190,197
E01019977,Exeter 012D,126,137,153,174,179,173
E01019980,Exeter 005A,127,121,114,121,127,143
E01019981,Exeter 012E,118,123,122,134,143,151
E01019982,Exeter 005B,117,118,105,108,119,131
E01019983,Exeter 005C,114,126,135,134,157,156
E01019984,Exeter 005D,83,92,99,99,96,97
E01019985,Exeter 005E,166,172,166,164,169,175
E01019986,Exeter 007A,127,127,118,119,118,125
E01019987,Exeter 006A,156,170,172,171,174,174
E01019988,Exeter 013A,154,158,158,166,165,163
E01019989,Exeter 006B,94,96,94,109,108,107
E01019990,Exeter 002A,136,135,139,161,169,169
E01019991,Exeter 002B,174,174,170,183,178,185
E01019992,Exeter 003A,137,154,182,193,196,194
E01019993,Exeter 002C,77,84,84,84,86,89
E01019994,Exeter 008A,120,119,111,113,128,143
E01019995,Exeter 008B,240,252,264,288,276,259
E01019996,Exeter 009A,122,132,141,139,131,126
E01019997,Exeter 004A,85,80,72,74,78,79
E01019998,Exeter 001C,112,109,105,112,114,111
E01019999,Exeter 001D,96,93,103,108,105,94
E01020000,Exeter 002D,124,126,145,145,145,136
E01020001,Exeter 001E,96,95,99,95,87,91
E01020002,Exeter 003B,131,138,154,180,194,206
E01020003,Exeter 003C,121,118,130,144,157,158
E01020004,Exeter 003D,91,102,103,105,96,101
E01020005,Exeter 003E,191,205,207,223,218,229
E01020006,Exeter 006C,148,151,157,165,161,150
E01020007,Exeter 002E,121,120,118,123,130,119
E01020008,Exeter 006D,77,77,79,86,97,94
E01020009,Exeter 006E,111,124,127,126,124,126
E01020010,Exeter 013B,177,190,195,200,193,201
E01020011,Exeter 015A,99,97,91,95,98,103
E01020012,Exeter 015B,156,170,178,181,177,173
E01020013,Exeter 013C,154,161,161,170,160,158
E01020014,Exeter 013D,186,198,208,233,237,244
E01020015,Exeter 013E,218,212,202,226,250,270
E01020016,Exeter 008C,267,268,260,270,274,294
E01020017,Exeter 008D,149,154,165,177,202,192
E01020018,Exeter 008E,185,194,227,263,265,243
E01020019,Exeter 004B,66,69,76,78,76,78
E01020020,Exeter 004C,91,96,100,109,108,108
E01020021,Exeter 004D,137,134,148,172,172,162
E01020022,Exeter 004E,159,144,134,130,138,148
E01020023,Exeter 009B,186,197,201,200,208,207
E01020024,Exeter 009C,126,126,129,134,147,143
E01020025,Exeter 009D,122,131,121,113,110,109
E01020026,Exeter 011A,136,144,136,131,124,145
E01020027,Exeter 011B,114,114,126,133,126,116
E01020029,Exeter 010B,131,125,120,120,116,118
E01020030,Exeter 010C,183,203,218,254,249,251
E01020031,Exeter 010D,109,128,144,161,159,157
E01020032,Exeter 010E,151,154,156,170,185,196
E01020033,Exeter 015C,170,168,186,189,223,229
E01020035,Exeter 011D,130,140,144,151,166,214
E01020036,Exeter 007B,174,173,170,179,168,157
E01020037,Exeter 007C,188,182,188,182,185,186
E01020038,Exeter 011E,101,107,112,125,131,149
E01020039,Exeter 007D,244,242,237,236,251,252
E01020040,Exeter 007E,124,132,131,147,140,146
E01020041,Mid Devon 011A,187,205,211,245,246,249
E01020042,Mid Devon 011B,112,114,129,137,152,154
E01020043,Mid Devon 008A,179,192,183,186,185,195
E01020044,Mid Devon 008B,107,108,110,122,130,137
E01020045,Mid Devon 006A,136,141,147,156,163,161
E01020046,Mid Devon 001A,117,119,119,126,126,132
E01020047,Mid Devon 002A,166,174,190,199,212,217
E01020048,Mid Devon 005A,164,176,169,171,177,188
E01020049,Mid Devon 001B,65,64,74,93,99,97
E01020050,Mid Devon 001C,153,157,154,157,162,178
E01020051,Mid Devon 002B,150,149,153,145,154,155
E01020052,Mid Devon 004A,177,184,183,191,184,183
E01020053,Mid Devon 004B,107,100,110,129,138,137
E01020054,Mid Devon 007A,147,159,171,203,203,189
E01020055,Mid Devon 007B,218,215,211,207,220,223
E01020056,Mid Devon 008C,130,135,140,141,145,146
E01020057,Mid Devon 007C,142,151,159,167,185,200
E01020058,Mid Devon 007D,146,150,146,158,161,163
E01020059,Mid Devon 006B,128,122,126,136,147,149
E01020060,Mid Devon 011C,167,175,194,201,210,205
E01020061,Mid Devon 011D,154,163,176,197,214,211
E01020062,Mid Devon 006C,91,94,98,104,107,124
E01020063,Mid Devon 003A,205,216,223,229,233,243
E01020064,Mid Devon 006D,136,150,151,150,148,168
E01020065,Mid Devon 004C,153,161,161,174,173,167
E01020066,Mid Devon 002C,141,148,162,163,167,160
