Area,2011,2012,2013,2014,2015,2016
E01015214,45772.29858,51739.10126,46254.97677,42944.0524,44051.71937,43215.30326
E01015215,31694.3513,32046.17299,33389.55083,30664.16811,31416.56852,29672.34368
E01015216,45248.84053,41569.35828,39458.52106,35958.07075,36332.39951,37066.44494
E01015217,41006.19742,41383.46735,43302.99563,37885.84831,40680.82516,42379.61058
E01015218,35458.51563,37454.59944,34982.04275,30830.0281,33754.9199,33072.0524
E01015219,40744.59702,40693.45125,42082.74395,36832.5275,36806.08437,33187.15948
E01015220,35493.38674,33220.04132,33204.31662,32358.16277,32155.86253,30365.67338
E01015221,38125.75302,39329.01021,31098.15635,28324.82302,29360.81336,29112.26518
E01015222,37852.73663,33168.9125,34342.38951,33457.23545,32692.49002,30992.80211
E01015223,35436.27878,34270.37646,34114.5693,28955.83914,29392.93071,29646.23644
E01015224,37376.72125,35855.12885,36915.50053,32235.50053,32240.69698,30889.62066
E01015225,36592.46847,32954.01575,33637.16447,31181.2766,31579.59226,33431.63817
E01015226,33770.87038,30636.08161,32047.56533,30471.31701,32176.68292,28789.38893
E01015227,30406.66374,30703.53854,38217.80656,34377.80656,32784.64156,33000.63054
E01015228,39804.88256,40098.38169,36401.44538,33831.17158,34539.48444,32735.30941
E01015229,34374.94933,41589.28805,34583.86949,31581.23135,31695.43614,32189.24953
E01015230,29930.5797,29668.23327,29989.82273,24108.21354,24762.46638,25426.6173
E01015231,51125.5787,56426.69578,55246.37997,51643.64493,52687.12363,53191.54306
E01015232,46829.44945,45206.52824,51608.22462,46692.25562,50491.70617,48347.24196
E01015233,46396.81018,46645.79277,48632.75212,43095.78242,43683.14421,42223.31897
E01015234,36830.58707,37559.69446,40465.38576,37287.75659,36171.89125,36477.73968
E01015235,36647.52778,35533.47142,30019.72634,29788.61523,32853.48979,33670.24268
E01015236,30229.87274,37112.15629,35861.02215,32695.67375,35043.22409,33625.3556
E01015237,34312.3806,36814.73656,34785.26951,29858.95372,32879.96526,30509.31297
E01015238,41374.29431,36506.60282,35660.31016,33030.97682,35161.1333,32177.81303
E01015239,36153.28014,35363.89428,39118.58941,33877.88766,36429.6751,36470.90725
E01015240,39165.86432,40951.42939,40015.67113,36478.3492,36344.34037,33852.83711
E01015241,31440.67076,33352.59565,33329.44221,29633.79003,31074.26839,29474.90941
E01015242,44915.79449,44177.50004,39915.19385,35469.60246,36847.70901,34842.6236
E01015243,31699.48374,33676.38234,30285.785,28571.49929,29093.09381,26208.34204
E01015244,41783.12277,42410.05155,38147.75285,36618.12322,36818.2785,34911.71845
E01015245,47147.83792,38463.78306,35699.07492,33259.07492,33958.13867,35105.36634
