E01015241,Torbay 005B,9785,10001,8562,11178,,Southern
E01015242,Torbay 005C,8168,7206,6529,5855,,Southern
E01015243,Torbay 005D,16626,17060,16667,18334,,Southern
E01015244,Torbay 018A,16389,13661,16602,16894,,Southern
E01015245,Torbay 018B,9706,9372,8639,6987,,Southern
E01015246,Torbay 018C,16952,14360,15660,16427,,Southern
E01015247,Torbay 018D,10069,9703,9505,11356,,Southern
E01015248,Torbay 018E,8493,6523,7366,7028,,Southern
E01015249,Torbay 003A,11125,8862,9124,7652,,Southern
E01015250,Torbay 003B,21934,19530,18808,22272,,Southern
E01015251,Torbay 003C,26153,25854,25363,24791,,Southern
E01015252,Torbay 003D,17004,15382,13723,16718,,Southern
E01015253,Torbay 003E,22216,19677,18445,21904,,Southern
E01015254,Torbay 003F,18517,19933,18200,17433,,Southern
E01015255,Torbay 008B,3003,1912,2129,401,,Southern
E01015256,Torbay 008C,2681,2493,2163,439,,Southern
E01015257,Torbay 004A,3874,1770,1131,928,,Southern
E01015258,Torbay 004B,12795,9749,9768,10371,,Southern
E01015259,Torbay 004C,8660,8756,7514,5209,,Southern
E01015260,Torbay 004D,3977,2519,1620,849,,Southern
E01015261,Torbay 008D,7044,3755,3875,2357,,Southern
E01015262,Torbay 001A,8970,8065,7235,5562,,Southern
E01015263,Torbay 001B,3929,2228,1327,1759,,Southern
E01015264,Torbay 001C,20694,19629,17938,19065,,Southern
E01015265,Torbay 001D,14580,11319,11391,10045,,Southern
E01015266,Torbay 001E,4334,4009,2279,1095,,Southern
E01015267,Torbay 010A,4457,3176,2408,1993,,Southern
E01015268,Torbay 010B,10966,12088,14754,12456,,Southern
E01015269,Torbay 010C,12261,13443,12319,12720,,Southern
E01015270,Torbay 010D,9084,7455,8004,6340,,Southern
E01015271,Torbay 010E,19386,17697,19119,24167,,Southern
E01019886,East Devon 005A,17288,13855,13823,15059,,Eastern
E01019887,East Devon 005B,16756,14649,15290,14877,,Eastern
E01019888,East Devon 005C,19401,17931,19646,17896,,Eastern
E01019889,East Devon 005D,22967,23475,22313,25416,,Eastern
E01019890,East Devon 009A,22383,19741,20582,25191,,Eastern
E01019891,East Devon 006A,17404,15086,14989,17168,,Eastern
E01019892,East Devon 006B,21217,18834,20686,21456,,Eastern
E01019893,East Devon 006C,21707,19053,18880,19600,,Eastern
E01019894,East Devon 017A,26475,27442,29753,30490,,Eastern
E01019895,East Devon 017B,28947,27158,25566,29319,,Eastern
E01019896,East Devon 017C,28245,25182,28426,28165,,Eastern
E01019897,East Devon 017D,19616,18562,18029,19321,,Eastern
E01019898,East Devon 014A,23263,21170,23943,23543,,Eastern
E01019899,East Devon 007A,23891,23240,21316,20381,,Eastern
E01019900,East Devon 007B,27575,25464,26021,27159,,Eastern
E01019901,East Devon 009B,16245,16256,16160,16041,,Eastern
