Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015077,0.004175891,0.006370773,0.00610189,0.007006819,0.007006819,0.005444444,0.006797689,0.006674049,0.007620467,0.008463423,0.007138272,0.008311921,0.008319759,0.008319759,0.007354082
E01015078,0.007112453,0.007261015,0.007253041,0.005614773,0.008410948,0.009482214,0.01060445,0.010815952,0.008606232,0.010469862,0.011224695,0.009748714,0.008761215,0.008761215,0.00744937
E01015079,0.005796104,0.00559666,0.005732268,0.007120121,0.00708955,0.006947854,0.008558917,0.009606106,0.008702446,0.007261015,0.00825048,0.010490485,0.010674026,0.010674026,0.009669274
E01015080,0.00414005,0,0.004124877,0.006116231,0.00606633,0.005719669,0.00748313,0.010009337,0.01024172,0.009452759,0.008752388,0.008560832,0.012038498,0.009515552,0.009515552
E01015081,0.008347807,0.008198343,0.008321037,0.00825048,0.008121361,0.009026258,0.009166938,0.009321912,0.01009973,0.010141704,0.010703509,0.008029212,0.008070837,0.008070837,0.008070837
E01015082,0.007914914,0.00814686,0.007703424,0.007539277,0.007388987,0.007410089,0.007803823,0.009138453,0.009176473,0.00941762,0.008431071,0.010170679,0.009960888,0.009960888,0.00916989
E01015083,0.00698459,0.008138343,0.007059241,0.009331772,0.008241744,0.008129843,0.007939132,0.010037417,0.008916785,0.008054136,0.009737035,0.009986073,0.008934846,0.008934846,0.008934846
E01015084,0.005548925,0.005478831,0.007166474,0.007143222,0.00695517,0.008338865,0.009669274,0.008521439,0.009897056,0.009616577,0.009722551,0.008860946,0.010066439,0.011111433,0.010066439
E01015085,0.006660588,0.003526116,0.005393664,0.005343824,0.005478831,0.005262771,0.005433077,0.008206986,0.008383771,0.008198343,0.008129843,0.008276798,0.009658688,0.009658688,0.007261015
E01015086,0.006522465,0.008311822,0.006362985,0.006355215,0.006402119,0.008188173,0.008087907,0.009616242,0.009628136,0.010994725,0.009973539,0.011466242,0.012103356,0.010967391,0.008249534
E01015087,0.008809935,0.008714214,0.00961238,0.00741715,0.009481657,0.008662874,0.011151376,0.011955075,0.011978585,0.011339487,0.010359104,0.010523278,0.010064691,0.010064691,0.009265642
E01015088,0.007213435,0.007407597,0.007293085,0.007197713,0.007044184,0.00681171,0.00818111,0.008401869,0.008356769,0.008062478,0.008907782,0.009905006,0.010660549,0.007858976,0.0066808
E01015089,0.005682202,0.007285041,0.007432605,0.007174258,0.005501998,0.006854123,0.005327414,0.006674049,0.005305691,0.00658095,0.006561337,0.006721593,0.007835244,0.007835244,0.007835244
E01015090,0.004651346,0.004735996,0.004896393,0.004887198,0.004919534,0.006174881,0.006408545,0.005311105,0.006969849,0.00558465,0.007182059,0.007603737,0.007961174,0.007961174,0.007961174
E01015091,0.00471882,0.005755196,0.005790516,0.004518099,0.004537795,0.004668033,0.004792691,0.006134733,0.006227279,0.006316612,0.006316612,0.006607284,0.005360335,0.0067907,0.003482475
E01015092,0.002693513,0.002775431,0.002734966,0.002704299,0.004194066,0.0040631,0.005198074,0.004173886,0.005528769,0.004355517,0.004672223,0.004514181,0.005336676,0.005336676,0.005336676
E01015093,0.006106375,0.006146151,0.007319506,0.007292078,0.007354082,0.007680621,0.007772654,0.006861243,0.008206986,0.009502641,0.010445581,0.008484287,0.008596727,0.008596727,0.008596727
E01015094,0.003518767,0.006962502,0.005614773,0.007051704,0.007143222,0.007097168,0.005989538,0.007719262,0.008721948,0.008751365,0.010020706,0.00889131,0.009046303,0.009046303,0.009046303
E01015095,0.005246855,0.005163569,0.003471733,0.005421757,0.005620837,0.007205565,0.007432605,0.005962093,0.007764635,0.006152381,0.008137731,0.008343321,0.008188173,0.008188173,0.009628136
E01015096,0.005278785,0.006446072,0.006735302,0.006925997,0.005461583,0.006925997,0.008606232,0.007237146,0.008625304,0.007341725,0.007466212,0.007647758,0.007630088,0.007630088,0.007630088
E01015097,0.005338343,0.005153343,0.005168696,0.00337458,0.003464609,0.005236298,0.006861243,0.005676005,0.006003355,0.005921395,0.005645223,0.005525362,0.006889873,0.006889873,0.005438754
E01015098,0.003774442,0.003774442,0.003770227,0.00370812,0.005543016,0.00342942,0.00337458,0.005117871,0.003301979,0.005092832,0.005178983,0.005014327,0.005033725,0.006377605,0.006377605
E01015099,0.003419002,0.003384729,0.005148246,0.005063106,0.004735996,0.004819318,0.003150989,0.003192701,0.005038598,0.005068036,0.006600681,0.004995077,0.004924189,0.004924189,0.004924189
