Area,Label,IMD Score
E01020102,North Devon 010A,9.436
E01020103,North Devon 010B,41.38
E01020104,North Devon 010C,33.747
E01020105,North Devon 011A,13.335
E01020106,North Devon 011B,11.419
E01020107,North Devon 011C,9.132
E01020108,North Devon 004B,14.644
E01020109,North Devon 004C,11.141
E01020110,North Devon 005E,10.738
E01020111,North Devon 001A,42.307
E01020112,North Devon 001B,54.175
E01020113,North Devon 003A,42.008
E01020114,North Devon 001C,29.07
E01020115,North Devon 001D,18.781
E01020116,North Devon 003B,25.247
E01020117,North Devon 003C,19.75
E01020118,North Devon 003D,27.377
E01020119,North Devon 011D,16.641
E01020120,North Devon 006B,8.688
E01020121,North Devon 012D,14.084
E01020122,North Devon 012E,18.921
E01020123,North Devon 009B,21.3
E01020124,North Devon 009C,13.749
E01020125,North Devon 009D,6.44
E01020126,North Devon 002D,22.233
E01020127,North Devon 006C,20.724
E01020128,North Devon 010D,8.236
E01020129,North Devon 010E,23.5
E01020130,North Devon 010F,23.599
E01020131,North Devon 013B,25.956
E01020132,North Devon 007A,13.917
E01020133,North Devon 007B,8.765
E01020134,North Devon 007C,25.869
E01020135,North Devon 013C,23.636
E01020136,North Devon 013D,14.951
E01020137,North Devon 013E,19.729
E01020138,North Devon 014C,23.905
E01020139,North Devon 007D,33.839
E01020140,North Devon 008C,21.532
E01020141,North Devon 008D,36.081
E01020142,South Hams 006A,16.367
E01020143,South Hams 006B,18.18
E01020144,South Hams 001A,3.92
E01020145,South Hams 001B,15.88
E01020146,South Hams 001C,8.75
E01020147,South Hams 008A,17.563
E01020148,South Hams 002A,18.244
E01020149,South Hams 001D,20.684
E01020150,South Hams 006C,13.734
E01020151,South Hams 007A,6.436
E01020152,South Hams 007B,17.243
E01020153,South Hams 004A,17.707
E01020154,South Hams 007C,14.028
E01020155,South Hams 007D,30.469
E01020156,South Hams 004B,11.02
E01020157,South Hams 002B,20.165
E01020158,South Hams 008B,9.969
E01020159,South Hams 008C,15.113
E01020160,South Hams 002C,15.011
E01020161,South Hams 005A,15.532
E01020162,South Hams 005B,6.565
E01020163,South Hams 005C,5.974
E01020164,South Hams 005D,12.056
E01020165,South Hams 005E,3.901
E01020166,South Hams 005F,4.558
E01020167,South Hams 005G,2.225
E01020168,South Hams 010A,15.62
E01020169,South Hams 010B,12.851
E01020170,South Hams 004C,9.665
E01020171,South Hams 009A,8.799
E01020172,South Hams 012A,14.302
E01020173,South Hams 012B,7.641
E01020174,South Hams 011A,19.392
E01020175,South Hams 011B,14.762
E01020176,South Hams 002D,11.629
E01020177,South Hams 002E,19.905
E01020178,South Hams 011C,14.597
E01020179,South Hams 012C,14.671
E01020180,South Hams 003A,23.768
E01020181,South Hams 003B,15.453
E01020182,South Hams 003C,19.543
E01020183,South Hams 003D,21.803
E01020184,South Hams 003E,23.161
E01020185,South Hams 009B,5.245
E01020186,South Hams 009C,6.346
E01020187,South Hams 009D,15.117
E01020188,South Hams 004D,16.724
E01020189,South Hams 010C,24.348
E01020190,South Hams 008D,8.802
E01020191,Teignbridge 013A,20.778
E01020192,Teignbridge 019A,9.369
E01020193,Teignbridge 019B,12.971
E01020194,Teignbridge 013B,4.542
E01020195,Teignbridge 017A,17.065
E01020196,Teignbridge 017B,21.99
E01020197,Teignbridge 017C,10.001
E01020198,Teignbridge 017D,25.801
E01020199,Teignbridge 017E,21.582
E01020200,Teignbridge 011A,9.005
E01020201,Teignbridge 011B,9.161
E01020202,Teignbridge 007A,14.094
E01020203,Teignbridge 004A,4.048
E01020204,Teignbridge 007B,16.325
E01020205,Teignbridge 003A,13.623
E01020206,Teignbridge 004B,11.872
E01020207,Teignbridge 013C,16.76
E01020208,Teignbridge 012A,21.378
E01020209,Teignbridge 012B,14.846
E01020210,Teignbridge 012C,5.231
E01020211,Teignbridge 014A,36.033
E01020212,Teignbridge 016A,32.739
E01020213,Teignbridge 016B,20.038
E01020214,Teignbridge 016C,13.702
E01020215,Teignbridge 016D,6.632
E01020216,Teignbridge 015A,34.441
E01020217,Teignbridge 014B,24.024
E01020218,Teignbridge 014C,31.725
E01020219,Teignbridge 012D,12.916
E01020220,Teignbridge 004C,19.029
E01020221,Teignbridge 004D,16.939
E01020222,Teignbridge 004E,5.121
E01020223,Teignbridge 004F,17.184
E01020224,Teignbridge 014D,18.354
E01020225,Teignbridge 015B,27.866
E01020226,Teignbridge 015C,16.337
E01020227,Teignbridge 015D,15.346
E01020228,Teignbridge 006A,30.977
E01020229,Teignbridge 005A,32.441
E01020230,Teignbridge 005B,14.64
E01020231,Teignbridge 005C,14.154
E01020232,Teignbridge 005D,18.691
E01020233,Teignbridge 006B,11.679
E01020234,Teignbridge 006C,21.891
E01020235,Teignbridge 006D,21.072
E01020236,Teignbridge 007C,7.015
E01020237,Teignbridge 007D,16.735
E01020238,Teignbridge 019C,9.375
E01020239,Teignbridge 019D,6.917
E01020240,Teignbridge 002A,10.424
E01020241,Teignbridge 002B,14.961
E01020242,Teignbridge 002C,2.099
E01020243,Teignbridge 001A,14.369
E01020244,Teignbridge 002D,16.448
E01020245,Teignbridge 002E,12.809
E01020246,Teignbridge 018A,15.584
E01020247,Teignbridge 018B,22.591
E01020248,Teignbridge 018C,9.303
