Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015111,0.007407407,0.008244023,0.005012531,0.008389262,0.020815987,0.016493056,0.015358362,0.005194805,0.007493755,0.008764242,0.004382121,0.008764242
E01015112,0.006764374,0.007865169,0.00441989,0.007847534,0.024663677,0.015837104,0.016357688,0.022821577,0.013452915,0.010615711,0.005307856,0.005307856
E01015113,0.006437768,0.010834236,0.012021858,0.004357298,0.015350877,0.012154696,0.013407821,0.013245033,0.006578947,0.005733945,0.005733945,0.01146789
E01015114,0.008501594,0.011615628,0.012889366,0.008743169,0.025054466,0.015069968,0.016233766,0.013100437,0.010893246,0.011600928,0.005800464,0.005800464
E01015115,0.014745308,0.017402945,0.006527415,0.009114583,0.027210884,0.022193211,0.034076016,0.029525032,0.019047619,0.019762846,0.013175231,0.013175231
E01015116,0.006750241,0.010945274,0.015748031,0.00984252,0.018848168,0.011739594,0.015005359,0.015350877,0.014659686,0.017045455,0.005681818,0.011363636
E01015117,0.007332722,0.006469501,0.004553734,0.010110294,0.02303263,0.028929605,0.018200202,0.016,0.008637236,0.010362694,0.010362694,0.005181347
E01015118,0.008752735,#,0.004188482,0.003061224,0.01525941,0.018108652,0.009221311,0.015,0.012207528,0.010309278,0.005154639,0.010309278
E01015119,0.003430532,0.008591065,0.005907173,0.007627119,0.019674936,0.018404908,0.013733906,0.011343805,0.011120616,0.013611615,0.004537205,0.004537205
E01015120,#,#,0.006091371,0.010341262,0.023329799,0.009564293,0.016842105,0.018887723,0.010604454,0.010582011,0.005291005,0.005291005
E01015121,0.00921659,0.008383234,0.009535161,0.008383234,0.02173913,0.010817308,0.014796547,0.008849558,0.010869565,0.013003901,0,0.006501951
E01015122,#,0.005668934,0.015730337,0.009163803,0.025200458,0.013348165,0.011098779,0.018579235,0.01489118,0.016465423,0.005488474,0.010976948
E01015123,0.008962868,0.011658031,0.01164295,#,0.02117061,0.025240385,0.016036655,0.015730337,0.01120797,0.010834236,0.005417118,0.016251354
E01015124,0.006217617,0.00855615,0.008547009,0.00972973,0.018558952,0.022751896,0.016722408,0.010146561,0.015283843,0.017401392,0.005800464,0.005800464
E01015125,0.004638219,0.007428041,0.006647673,0.010536398,0.024716787,0.021276596,0.018769552,0.016460905,0.011328527,0.010964912,0.005482456,0.010964912
E01015126,0.006802721,#,0.005405405,0.009602195,0.018232819,0.011315417,0.014684288,0.013235294,0.007012623,0.007763975,0.007763975,0.01552795
E01015127,0.00509165,0.002982107,0.006923838,0.008213552,0.019067797,0.01540154,0.014623172,0.026106697,0.021186441,0.02293578,0.01146789,0.01146789
E01015128,0.005747126,0.013295347,0.01171875,0.010050251,0.019527235,0.017580145,0.021253985,0.016789087,0.008221994,0.010952903,0.005476451,0.010952903
E01015129,0.012633625,0.016569201,0.016748768,0.01179941,0.033299697,0.027559055,0.021934197,0.031440162,0.013118063,0.015772871,0.010515247,0.021030494
E01015130,0.009615385,0.008764242,0.012216405,0.008137432,0.021256932,0.012867647,0.016423358,0.009066183,0.012014787,0.014044944,0.009363296,0.004681648
E01015131,0.00461361,0.009345794,0.009569378,0.004813478,0.015795869,0.00875,0.008760951,0.006377551,0.0036452,0.006578947,0.006578947,0.006578947
E01015132,0.015494636,0.014371257,0.010440835,0.008196721,0.01754386,0.020070838,0.016587678,0.01981352,0.016374269,0.017814727,0.005938242,0.005938242
E01015133,0.013377926,0.012457531,0.013348165,0.005643341,0.014722537,0.022624434,0.010332951,0.016393443,0.003397508,0.005988024,0.005988024,0.011976048
E01015134,0.008578431,0.009744214,0.014457831,0.007462687,0.016706444,0.011587486,0.012614679,0.014806378,0.015513126,0.016968326,0.011312217,0.011312217
E01015135,0.015384615,0.011689692,0.016511868,0.00513347,0.031055901,0.022403259,0.022680412,0.011591149,0.02173913,0.021253985,0.010626993,0.010626993
E01015136,0.010663507,0.01056338,0.013157895,0.010869565,0.031063321,0.010404624,0.03003337,0.023809524,0.015531661,0.017064846,0.005688282,0.011376564
E01015137,0.007454739,0.00844773,0.006072874,0.006979063,0.018793274,0.023809524,0.017364658,0.019628099,0.008902077,0.010449321,0.010449321,0.00522466
