LSOA,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 and over
E01020219,66,64,73,74,73,65,74,59,68,82,96,73,62,46,31,33,22,16
E01020220,56,50,50,47,62,30,34,49,43,54,56,49,44,61,26,18,14,14
E01020221,59,51,38,56,39,40,43,45,51,64,86,67,68,68,45,31,19,16
E01020222,43,33,43,36,22,34,28,41,39,38,49,43,50,43,34,20,10,13
E01020223,43,49,50,40,31,39,27,57,64,64,65,60,60,62,55,42,26,7
E01020224,48,53,27,40,49,37,46,49,45,38,39,31,20,28,19,3,2,6
E01020225,54,37,49,48,36,51,61,28,42,52,34,40,28,36,16,19,11,8
E01020226,19,39,35,27,19,29,18,28,42,47,47,44,36,53,38,36,22,36
E01020227,31,44,35,47,45,53,37,30,37,41,47,49,34,55,42,30,27,30
E01020228,35,17,32,32,53,34,55,29,36,66,51,78,66,70,78,39,31,48
E01020229,63,46,49,67,37,96,60,49,47,80,87,83,91,106,93,59,49,31
E01020230,31,30,33,41,44,32,21,39,45,65,66,68,80,71,57,30,25,29
E01020231,29,33,35,47,33,32,21,27,43,45,55,45,54,62,60,31,22,20
E01020232,73,69,55,66,42,47,39,59,52,50,53,66,44,55,34,33,16,8
E01020233,29,29,30,45,34,26,22,27,25,37,57,53,65,100,94,72,42,40
E01020234,43,45,40,48,39,34,39,47,37,36,55,41,50,35,50,14,18,19
E01020235,31,35,49,43,37,40,20,31,54,62,56,51,54,75,58,46,30,27
E01020236,16,28,32,44,28,21,24,26,22,50,57,52,47,51,45,29,29,13
E01020237,22,36,68,32,27,19,37,30,57,64,47,50,63,62,47,27,32,17
E01020238,26,36,33,21,21,13,18,33,15,39,53,38,48,45,45,23,15,15
E01020239,17,40,33,32,20,20,11,20,33,51,54,47,42,56,43,29,31,15
E01020240,28,36,48,39,34,46,65,51,57,48,49,53,58,42,39,48,22,38
E01020241,35,44,49,73,52,55,29,52,57,74,69,64,46,55,45,27,15,18
E01020242,92,73,43,54,25,60,65,74,45,84,67,46,51,52,36,27,20,6
E01020243,31,32,22,27,21,24,18,29,43,36,48,47,58,42,31,32,11,11
E01020244,34,39,33,39,20,25,30,35,35,57,53,43,51,50,40,27,21,18
E01020245,31,39,37,42,25,31,29,37,52,54,67,69,60,75,58,30,17,20
E01020246,26,30,25,35,37,33,27,29,29,36,51,38,55,44,25,22,9,12
E01020247,49,41,55,43,39,65,25,34,51,37,46,58,43,59,44,20,33,19
E01020248,38,53,40,31,30,28,46,35,46,52,74,72,61,109,46,38,28,16
E01020249,18,38,21,44,30,18,12,22,35,58,53,50,43,53,58,31,30,16
E01020250,53,37,38,42,42,42,29,31,49,61,59,51,51,64,53,33,16,19
E01020251,45,48,36,52,50,38,38,36,49,49,76,48,48,47,53,10,19,10
E01020252,37,45,21,30,35,47,30,27,54,54,41,56,44,42,28,33,17,23
E01020253,26,51,55,71,41,49,27,38,59,69,78,30,30,28,25,14,16,6
E01020254,48,53,32,44,49,36,43,28,40,44,52,33,35,35,28,17,17,11
E01020255,22,29,34,42,36,15,31,19,47,52,46,47,29,45,61,35,21,13
E01020256,37,25,41,45,33,24,30,43,45,45,57,37,50,51,35,27,23,20
E01020257,31,25,26,50,31,23,26,23,31,41,66,35,35,48,31,22,19,18
E01020258,45,20,38,64,31,30,36,41,34,68,71,71,68,73,52,46,27,27
E01020259,21,23,27,17,13,17,21,16,30,58,50,41,43,65,34,30,20,18
E01020260,32,25,22,24,20,12,14,10,22,37,43,35,52,80,58,44,25,30
E01020261,19,19,29,34,16,17,11,26,25,54,49,32,42,72,46,37,23,16
E01020262,23,20,31,34,28,20,13,11,34,46,55,48,67,56,55,43,22,17
E01020263,19,34,30,42,24,20,28,29,41,47,43,45,65,91,75,66,41,21
E01020264,29,38,29,37,40,48,32,25,43,38,58,52,56,51,49,25,28,32
E01020265,38,48,41,38,28,38,30,55,41,38,54,62,49,79,64,36,32,22
E01020266,40,49,49,87,31,26,20,29,41,71,61,67,63,84,52,32,24,16
E01020267,29,36,34,51,32,17,34,29,37,43,62,61,64,76,41,38,27,32
E01020268,25,46,49,26,22,15,13,48,51,28,52,60,46,84,65,45,48,29
E01020269,22,20,9,19,33,48,41,33,40,67,58,71,62,77,61,44,49,42
E01020270,57,43,36,54,26,52,55,34,49,49,56,61,54,69,52,25,23,14
E01020271,45,56,52,54,49,48,30,36,43,48,50,50,58,41,27,24,13,17
E01020272,92,75,54,71,81,42,40,56,53,53,61,45,49,53,39,23,16,14
E01020273,30,40,39,38,23,21,28,36,38,43,58,49,48,85,25,37,19,21
E01020274,26,41,43,31,32,15,17,34,32,51,64,51,59,60,52,38,6,9
E01020275,30,31,24,33,25,22,38,19,21,49,41,80,65,53,50,19,16,13
E01020276,29,47,39,41,20,14,21,43,36,53,62,39,51,67,62,43,34,22
E01020277,71,64,72,83,53,65,34,66,54,66,67,58,62,68,44,43,32,19
E01020278,43,46,48,50,51,34,22,39,52,61,73,60,59,62,63,28,20,1
E01020279,123,127,83,71,73,140,109,89,76,89,86,60,74,82,55,37,24,13
E01020280,88,64,57,69,101,89,85,82,64,94,84,63,68,56,48,29,12,15
E01020281,53,59,70,100,48,37,47,51,61,69,76,59,77,82,44,38,30,26
E01020282,40,65,48,34,39,28,38,27,39,52,50,59,49,64,39,41,30,18
E01020283,36,37,50,42,35,28,34,25,31,59,39,83,60,75,46,37,33,17
E01020284,87,84,51,50,68,59,56,55,70,80,70,73,53,56,26,27,26,14
E01020285,96,75,61,54,66,70,61,65,55,65,75,51,60,34,37,28,18,17
E01020286,40,59,44,52,37,28,38,32,50,54,86,67,50,74,55,35,29,20
E01020287,22,26,78,56,35,27,13,30,46,62,76,70,59,70,62,42,25,20
E01020288,34,44,53,47,42,50,25,40,47,48,67,68,66,80,71,30,22,11
E01020289,22,27,35,34,28,25,22,29,32,72,55,64,91,78,74,41,29,14
E01020290,28,41,44,46,22,34,29,37,47,53,68,58,80,91,79,40,29,21
E01020291,39,40,44,47,32,51,30,24,52,63,73,51,78,80,60,24,18,18
E01020292,37,55,22,48,32,24,28,39,48,53,70,52,52,75,45,47,36,17
E01020293,36,48,58,52,52,35,47,59,69,91,89,83,65,102,64,53,31,15
E01020294,65,69,62,48,43,52,47,49,56,70,64,69,54,70,47,39,34,31
E01020295,43,37,50,39,30,23,23,40,41,49,61,53,68,88,53,43,33,34
E01020296,27,35,38,51,33,20,29,25,29,63,59,50,70,83,67,39,21,22
E01020297,48,59,40,28,22,46,28,29,37,51,43,41,47,71,38,28,30,13
E01020298,42,42,38,41,30,23,45,39,56,68,56,57,74,93,89,69,62,44
E01020299,42,27,34,26,34,30,27,40,46,55,63,79,74,103,73,51,42,26
E01020300,32,29,30,53,35,48,31,36,35,49,53,64,69,96,57,39,47,34
E01020301,45,46,54,76,42,50,39,33,50,61,71,90,92,95,84,27,20,15
E01020302,33,64,50,52,37,43,34,37,51,58,68,75,81,94,49,43,22,18
E01020303,34,41,30,46,24,31,19,19,32,55,68,71,86,70,61,37,30,18
E01020304,59,49,45,82,41,55,36,56,48,56,75,46,44,49,57,44,22,16
E01020305,37,25,23,26,21,33,25,34,29,51,37,42,42,38,31,18,12,11
E01020306,39,34,29,30,35,25,31,39,40,46,44,40,26,44,27,30,5,8
E01020307,55,69,55,54,59,44,39,29,49,59,35,45,49,49,46,26,24,22
E01020308,39,36,35,44,56,39,32,39,49,57,88,83,82,77,63,50,21,18
E01020309,49,29,55,44,49,38,24,39,37,68,80,79,66,75,84,32,21,18
E01020310,28,18,32,31,53,66,45,46,59,61,86,69,87,122,105,73,42,36
E01020311,48,68,48,47,34,43,41,39,54,71,67,85,96,93,86,70,37,27
E01020312,17,18,37,37,24,16,18,20,28,56,48,64,71,124,76,46,27,17
E01020313,40,61,35,52,26,27,34,32,30,56,51,49,38,47,42,26,24,17
