Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total,,,
E01020131,4,3,12,15,5,38,,,
E01020132,2,2,5,5,3,18,,,
E01020133,2,2,5,5,2,15,,,
E01020134,2,3,7,6,3,20,,,
E01020135,3,3,10,7,5,28,,,
E01020136,4,3,10,9,6,31,,,
E01020137,4,3,8,10,5,29,,,
E01020138,4,2,13,14,8,41,,,
E01020139,2,3,9,7,3,24,,,
E01020140,2,2,5,6,4,19,,,
E01020141,5,4,13,7,3,31,,,
E01020142,4,4,13,16,6,45,,,
E01020143,4,3,13,17,6,43,,,
E01020144,2,2,10,8,1,24,,,
E01020145,4,3,12,12,5,36,,,
E01020146,1,2,4,3,2,12,,,
E01020147,2,2,9,15,7,35,,,
E01020148,2,2,6,8,3,21,,,
E01020149,2,3,9,7,3,25,,,
E01020150,1,1,6,8,4,20,,,
E01020151,1,1,5,9,7,23,,,
E01020152,2,2,6,10,7,26,,,
E01020153,1,1,5,9,5,21,,,
E01020154,4,3,8,7,2,24,,,
E01020155,2,2,6,5,3,18,,,
E01020156,2,1,7,8,4,21,,,
E01020157,4,2,14,17,7,43,,,
E01020158,2,1,5,7,3,17,,,
E01020159,3,2,9,10,4,28,,,
E01020160,3,3,13,13,5,37,,,
E01020161,6,4,14,12,10,45,,,
E01020162,3,2,9,8,2,25,,,
E01020163,3,2,10,9,3,27,,,
E01020164,2,1,5,6,2,16,,,
E01020165,3,3,8,8,2,24,,,
E01020166,2,2,8,7,3,22,,,
E01020167,3,1,7,7,2,20,,,
E01020168,3,3,9,11,9,35,,,
E01020169,3,2,7,8,3,24,,,
E01020170,2,1,6,9,4,22,,,
E01020171,1,1,5,7,4,18,,,
E01020172,3,3,8,12,7,32,,,
E01020173,2,1,4,8,5,21,,,
E01020174,2,1,7,10,6,27,,,
E01020175,2,2,8,14,9,36,,,
E01020176,1,1,3,4,3,11,,,
E01020177,3,1,9,9,5,27,,,
E01020178,2,2,10,12,9,36,,,
E01020179,2,2,9,13,9,35,,,
E01020180,3,3,14,11,6,36,,,
E01020181,3,2,11,12,6,33,,,
E01020182,3,2,11,9,3,29,,,
E01020183,2,2,8,9,5,26,,,
E01020184,2,2,10,12,5,31,,,
E01020185,1,1,6,7,5,20,,,
E01020186,1,1,6,8,6,22,,,
E01020187,3,3,12,9,5,33,,,
E01020188,3,2,11,15,6,37,,,
E01020189,3,3,10,13,7,36,,,
E01020190,2,1,8,7,4,22,,,
E01020191,2,3,7,7,4,23,,,
E01020192,1,1,4,5,3,15,,,
E01020193,2,1,5,6,2,17,,,
E01020194,2,2,9,8,3,23,,,
E01020195,4,3,12,11,4,34,,,
E01020196,3,3,10,10,6,32,,,
E01020197,1,1,3,5,3,13,,,
E01020198,3,3,9,8,3,26,,,
E01020199,2,3,10,8,4,27,,,
E01020200,1,0,3,5,2,11,,,
E01020201,1,1,3,6,5,16,,,
E01020202,3,2,9,9,8,31,,,
E01020203,1,1,7,7,7,24,,,
E01020204,4,4,11,8,2,29,,,
E01020205,1,1,4,7,4,15,,,
E01020206,2,1,6,5,3,16,,,
E01020207,4,6,13,9,4,36,,,
E01020208,3,2,9,6,3,24,,,
E01020209,3,3,8,9,4,26,,,
E01020210,2,1,5,7,3,18,,,
E01020211,4,3,9,7,3,26,,,
E01020212,3,2,7,7,3,21,,,
E01020213,3,3,7,9,5,27,,,
E01020214,2,1,6,5,3,17,,,
E01020215,2,1,5,8,4,20,,,
E01020216,4,3,9,7,3,27,,,
E01020217,4,4,9,6,5,28,,,
E01020218,4,4,8,8,3,27,,,
E01020219,3,3,9,6,2,23,,,
E01020220,3,2,10,8,4,27,,,
E01020221,3,3,11,11,5,33,,,
E01020222,1,2,6,6,3,19,,,
E01020223,3,2,11,12,5,32,,,
E01020224,3,4,8,6,2,23,,,
E01020225,4,3,8,7,3,25,,,
E01020226,2,2,7,8,6,24,,,
E01020227,3,2,8,8,6,26,,,
E01020228,2,2,6,10,8,28,,,
E01020229,4,4,10,15,8,41,,,
E01020230,3,2,10,12,6,33,,,
E01020231,3,2,8,10,5,28,,,
E01020232,4,4,11,10,4,33,,,
E01020233,1,1,4,6,5,17,,,
E01020234,3,3,9,8,4,26,,,
E01020235,4,2,8,11,8,32,,,
E01020236,2,1,5,7,4,19,,,
E01020237,3,2,10,11,4,31,,,
E01020238,1,1,4,4,3,13,,,
E01020239,2,1,6,6,4,19,,,
E01020240,1,2,5,4,3,16,,,
E01020241,3,3,12,10,4,33,,,
E01020242,3,4,11,8,3,29,,,
E01020243,2,2,8,8,3,23,,,
E01020244,2,3,7,9,4,25,,,
E01020245,1,1,5,6,3,16,,,
E01020246,2,2,6,9,2,21,,,
E01020247,3,3,9,9,5,28,,,
E01020248,2,1,6,6,3,18,,,
E01020249,1,1,4,5,3,14,,,
E01020250,2,1,5,5,3,16,,,
E01020251,1,1,5,5,2,15,,,
E01020252,3,2,9,7,4,26,,,
E01020253,3,2,11,6,2,24,,,
E01020254,3,3,8,6,3,23,,,
E01020255,2,2,7,8,4,25,,,
E01020256,3,3,7,8,4,25,,,
E01020257,2,2,6,6,3,18,,,
E01020258,2,1,6,7,3,19,,,
E01020259,2,1,7,9,4,22,,,
E01020260,1,1,3,5,3,13,,,
E01020261,1,1,3,5,2,13,,,
E01020262,1,1,7,9,5,23,,,
E01020263,2,2,6,9,7,26,,,
E01020264,3,2,7,9,7,28,,,
E01020265,2,2,7,8,5,25,,,
E01020266,3,2,8,9,4,25,,,
E01020267,1,1,4,5,3,15,,,
E01020268,1,1,5,6,4,17,,,
E01020269,3,3,7,11,9,33,,,
E01020270,1,2,6,6,3,17,,,
E01020271,3,3,10,9,4,30,,,
E01020272,5,3,12,9,3,32,,,
E01020273,1,1,5,6,2,15,,,
E01020274,3,1,7,10,3,25,,,
E01020275,2,2,6,10,4,24,,,
E01020276,2,2,9,9,6,27,,,
E01020277,5,4,11,10,4,34,,,
E01020278,4,2,10,11,3,31,,,
E01020279,6,8,15,14,5,47,,,
E01020280,5,6,13,12,4,40,,,
E01020281,2,1,7,7,3,20,,,
E01020282,3,3,9,8,6,28,,,
E01020283,3,2,9,9,6,30,,,
E01020284,4,4,13,9,3,34,,,
E01020285,6,5,13,8,3,35,,,
E01020286,3,2,9,11,5,31,,,
E01020287,3,2,7,11,5,27,,,
E01020288,3,2,9,10,5,28,,,
E01020289,2,2,7,10,6,27,,,
E01020290,2,2,8,12,6,31,,,
E01020291,2,2,10,9,4,27,,,
E01020292,3,2,8,10,4,26,,,
E01020293,5,3,11,14,6,38,,,
E01020294,4,3,10,10,7,34,,,
E01020295,2,2,8,11,7,29,,,
E01020296,2,2,8,11,5,27,,,
E01020297,2,3,8,9,5,28,,,
E01020298,1,2,6,7,6,22,,,
E01020299,2,2,10,12,8,34,,,
E01020300,1,1,4,6,4,18,,,
E01020301,4,2,11,14,6,37,,,
E01020302,3,2,10,11,6,31,,,
E01020303,2,2,7,13,6,30,,,
E01020304,4,3,11,8,5,31,,,
E01020305,3,2,5,5,3,19,,,
E01020306,1,1,5,4,2,13,,,
E01020307,4,3,10,8,4,29,,,
E01020308,3,2,11,13,5,34,,,
E01020309,3,3,8,12,5,30,,,
E01020310,3,2,7,13,10,35,,,
E01020311,2,2,12,13,7,36,,,
E01020312,3,1,6,13,6,29,,,
E01020313,2,2,8,9,4,24,,,
E01020314,3,2,10,12,5,31,,,
E01020315,2,2,8,9,6,28,,,
E01020316,2,2,8,10,5,28,,,
E01020317,1,1,4,7,3,15,,,
E01020318,1,1,5,5,3,16,,,
E01020319,3,3,10,12,5,32,,,
E01020320,2,2,8,12,6,29,,,
E01020321,4,4,13,14,6,41,,,
E01020322,5,4,13,14,7,43,,,
E01020323,2,2,9,11,3,27,,,
E01020324,2,1,8,13,6,29,,,
E01020325,3,2,9,12,4,30,,,
E01020326,4,3,12,13,5,37,,,
E01020327,2,2,6,5,3,18,,,
E01020328,5,5,15,9,3,38,,,
E01020329,2,2,7,11,6,28,,,
E01020330,3,3,11,8,6,32,,,
E01020331,3,1,9,11,6,30,,,
E01020332,4,4,10,10,6,34,,,
E01020333,1,1,6,7,3,19,,,
